"U",,"FW82439HX",,"Intel 430HX Chipset"
,,,,
"Y15","output","MA9","right",
"Y14","output","MA10","right",
"V14","output","MA11","right",
"V12","output","MAA0","right",
"T12","output","MAA1","right",
"W12","output","MAB0","right",
"U12","output","MAB1","right",
"W20","tristate","MD00","right",
"T17","tristate","MD01","right",
"T19","tristate","MD02","right",
"R20","tristate","MD03","right",
"P19","tristate","MD04","right",
"N18","tristate","MD05","right",
"L20","tristate","MD06","right",
"K19","tristate","MD07","right",
"F18","tristate","MD08","right",
"D20","tristate","MD09","right",
"C19","tristate","MD10","right",
"C18","tristate","MD11","right",
"B18","tristate","MD12","right",
"B16","tristate","MD13","right",
"B15","tristate","MD14","right",
"C13","tristate","MD15","right",
"U18","tristate","MD16","right",
"U20","tristate","MD17","right",
"R18","tristate","MD18","right",
"P17","tristate","MD19","right",
"N20","tristate","MD20","right",
"M19","tristate","MD21","right",
"L18","tristate","MD22","right",
"J 20","tristate","MD23","right",
"E19","tristate","MD24","right",
"E17","tristate","MD25","right",
"D18","tristate","MD26","right",
"A19","tristate","MD27","right",
"C17","tristate","MD28","right",
"A17","tristate","MD29","right",
"D16","tristate","MD30","right",
"B14","tristate","MD31","right",
"V19","tristate","MD32","right",
"U19","tristate","MD33","right",
"T20","tristate","MD34","right",
"R17","tristate","MD35","right",
"P18","tristate","MD36","right",
"M20","tristate","MD37","right",
"L19","tristate","MD38","right",
"K18","tristate","MD39","right",
"F19","tristate","MD40","right",
"E18","tristate","MD41","right",
"C20","tristate","MD42","right",
"A20","tristate","MD43","right",
"D17","tristate","MD44","right",
"C16","tristate","MD45","right",
"D15","tristate","MD46","right",
"C14","tristate","MD47","right",
"V20","tristate","MD48","right",
"T18","tristate","MD49","right",
"R19","tristate","MD50","right",
"P20","tristate","MD51","right",
"N19","tristate","MD52","right",
"M18","tristate","MD53","right",
"K20","tristate","MD54","right",
"J19","tristate","MD55","right",
"E20","tristate","MD56","right",
"D19","tristate","MD57","right",
"B20","tristate","MD58","right",
"B19","tristate","MD59","right",
"A18","tristate","MD60","right",
"B17","tristate","MD61","right",
"A16","tristate","MD62","right",
"C15","tristate","MD63","right",
"H19","tristate","MPD0","right",
"G19","tristate","MPD1","right",
"J18","tristate","MPD2","right",
"F20","tristate","MPD3","right",
"H18","tristate","MPD4","right",
"G20","tristate","MPD5","right",
"H20","tristate","MPD6","right",
"G18","tristate","MPD7","right",
